Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2009-12-28,14.596641540527344,25.396047592163086,38.890628814697266,9.439892768859863,21.933679580688477,19.097837448120117,19.152151107788086,,20.174657821655273,25.266096115112305,25.328887939453125
2010-01-04,14.662259101867676,26.881784439086914,41.13497543334961,9.977439880371094,23.08600425720215,19.189455032348633,19.224504470825195,,19.979549407958984,25.84346580505371,25.856401443481445
2010-01-11,14.173760414123535,26.01959228515625,40.425514221191406,9.793888092041016,22.943931579589844,18.872962951660156,19.369211196899414,,20.103118896484375,26.201265335083008,25.50756072998047
2010-01-18,13.648808479309082,24.34910774230957,38.406288146972656,9.295668601989746,21.97313690185547,18.040082931518555,19.021909713745117,,19.39421272277832,25.745880126953125,24.690776824951172
2010-01-25,13.284255027770996,23.20208740234375,37.178375244140625,9.295668601989746,21.610071182250977,17.457075119018555,18.95679473876953,,19.20560646057129,25.436861038208008,24.597187042236328
2010-02-01,13.109269142150879,23.463825225830078,37.00101852416992,9.13833999633789,21.468006134033203,17.548686981201172,18.797611236572266,,18.80887222290039,25.0709285736084,24.478069305419922
2010-02-08,13.284255027770996,23.841033935546875,37.92194366455078,9.144892692565918,21.760038375854492,17.790224075317383,19.130447387695312,,18.737327575683594,25.103456497192383,24.886459350585938
2010-02-15,13.772749900817871,24.857179641723633,39.12939453125,9.47922420501709,22.778194427490234,18.173351287841797,19.62244987487793,,19.355192184448242,25.640165328979492,25.71175193786621
2010-02-22,13.641515731811523,24.2490291595459,38.2971305847168,9.623443603515625,22.76240348815918,18.065074920654297,19.557334899902344,,18.951950073242188,25.53445053100586,25.967012405395508
2010-03-01,14.049813270568848,25.534616470336914,39.66830062866211,9.977439880371094,23.59902572631836,18.58145523071289,19.96251678466797,,19.48526382446289,26.038639068603516,27.04754066467285
2010-03-08,14.399781227111816,25.626991271972656,39.90706253051758,10.187215805053711,23.969982147216797,18.947917938232422,19.882925033569336,,19.40721893310547,25.89225196838379,27.404891967773438
2010-03-15,14.6549711227417,25.619291305541992,39.07481002807617,10.285550117492676,24.31724739074707,18.981237411499023,20.09275245666504,,19.48526382446289,26.225666046142578,27.566545486450195
2010-03-19,,,,,,,,,,,
2010-03-22,14.538312911987305,25.98346710205078,38.39015579223633,10.512677192687988,24.622329711914062,19.217140197753906,20.27960968017578,,19.324079513549805,26.027883529663086,28.181743621826172
2010-03-25,,,,,,,,,,,
2010-03-29,14.902305603027344,26.623794555664062,40.074180603027344,10.565238952636719,24.899518966674805,19.26726531982422,20.424924850463867,,19.73089599609375,26.362415313720703,28.190265655517578
2010-04-05,15.041857719421387,26.93239402770996,40.95726013183594,10.867481231689453,25.168794631958008,19.61818504333496,20.374069213867188,,19.84244728088379,26.17474937438965,28.957468032836914
2010-04-12,15.005135536193848,26.48493194580078,40.59443283081055,10.749214172363281,25.414310455322266,19.827070236206055,20.27960968017578,,19.57341766357422,25.80758285522461,29.298442840576172
2010-04-19,15.129989624023438,27.009538650512695,42.504356384277344,11.025169372558594,26.23002815246582,20.119504928588867,20.366796493530273,,20.085233688354492,25.579133987426758,30.406606674194336
2010-04-26,14.968408584594727,26.222625732421875,41.012020111083984,10.617803573608398,25.794445037841797,19.542991638183594,20.076156616210938,,19.973684310913086,25.19565200805664,29.682052612304688
2010-05-03,13.910776138305664,24.01619529724121,37.64398956298828,9.914763450622559,23.782848358154297,18.1727237701416,19.429471969604492,,19.094423294067383,24.24917221069336,27.43159294128418
2010-05-10,14.608515739440918,24.371076583862305,38.49969482421875,10.085598945617676,24.7015323638916,18.724170684814453,19.814573287963867,,19.639039993286133,24.453157424926758,28.13912010192871
2010-05-17,14.116429328918457,23.42987060546875,36.329620361328125,9.691374778747559,23.299745559692383,17.938772201538086,19.342283248901367,,18.779457092285156,23.4985294342041,27.04799461364746
2010-05-24,14.395523071289062,23.723026275634766,36.315940856933594,9.645380973815918,23.44229507446289,18.080820083618164,19.14609718322754,,18.871320724487305,23.555644989013672,27.59356689453125
2010-05-31,14.116429328918457,22.45780372619629,35.289100646972656,9.297149658203125,22.51569938659668,17.897005081176758,18.942644119262695,,18.45138168334961,23.237436294555664,26.868989944458008
2010-06-07,14.483661651611328,23.66130828857422,37.185340881347656,9.533684730529785,23.101747512817383,18.164369583129883,19.233291625976562,,19.173160552978516,23.79226303100586,27.49126625061035
2010-06-14,14.667278289794922,23.877330780029297,38.068416595458984,9.743938446044922,23.75908851623535,18.657331466674805,19.3713436126709,,19.737457275390625,24.11046600341797,27.678800582885742
2010-06-18,,,,,,,,,,,
2010-06-21,14.123770713806152,23.324188232421875,36.0964241027832,9.63931655883789,23.016429901123047,18.010623931884766,18.939523696899414,,19.123428344726562,23.790178298950195,26.348405838012695
2010-06-24,,,,,,,,,,,
2010-06-28,13.764911651611328,21.735666275024414,33.957733154296875,8.901883125305176,21.496328353881836,17.01283073425293,18.62484359741211,,18.67252540588379,22.986513137817383,24.83472442626953
2010-07-05,14.343700408935547,23.54891014099121,36.185829162597656,9.55372142791748,22.793582916259766,17.935161590576172,19.378610610961914,,19.759990692138672,23.806581497192383,26.006336212158203
2010-07-12,14.217549324035645,23.114973068237305,35.57379150390625,9.303522109985352,22.339937210083008,17.91839027404785,19.407886505126953,,19.687047958374023,23.51955795288086,25.672801971435547
2010-07-19,14.959598541259766,24.804229736328125,36.98353958129883,9.586640357971191,23.931673049926758,18.605947494506836,19.86893653869629,,20.210887908935547,23.314538955688477,26.981246948242188
