Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-04-08,404100,8287600,19459700,86447591,9100600,8455200,2570500,,4773900,4561700,8560900
2010-04-09,205100,8372900,17488600,64967625,6284600,5489300,3339000,,6605700,4155000,4365600
2010-04-12,137400,5752400,15027800,56718325,6771300,4160400,4090000,,4633700,4513500,3807500
2010-04-13,173200,7053700,13855500,85280479,8688200,5938600,3045800,,5240600,7279200,5874200
2010-04-14,198100,7314100,14585600,155369926,13028000,14981300,3626000,,4773200,6331200,5078700
2010-04-15,454100,7527500,13947200,101626682,6788800,9490200,3876300,,4765700,5119600,6723300
2010-04-16,339400,16872600,36664200,468533372,26511600,15201200,6525100,,7682600,8928300,12105400
2010-04-19,520200,11292900,21149100,319699563,16021200,8766800,4791100,,5285500,11270000,9300300
2010-04-20,191200,5805300,19666600,151176894,13103000,6943500,5377800,,3634100,5741100,9344300
2010-04-21,2677700,11032000,18571600,210131946,19373000,9400300,5605500,,5036400,13931400,11293200
2010-04-22,381000,5921500,10687000,123733596,11770200,4160500,2422800,,2047400,4291800,3362200
2010-04-23,312300,9846000,26010900,109054906,15681200,12870200,4651200,,4489800,10974900,6154100
2010-04-26,485200,7025100,17262800,128910443,13312200,9812900,4452200,,5645500,7321500,7600100
2010-04-27,264800,16039100,41402400,289883143,31528700,28249000,8249300,,6357200,10692000,17206800
2010-04-28,330700,16037700,23095000,194917032,17520400,12760700,5162100,,6939700,10333300,10607100
2010-04-29,201200,10019000,28860700,153177515,14211400,9053600,4095500,,3279000,10236400,8474500
2010-04-30,430200,10940900,22916500,206146707,18401800,10547600,7474600,,4991500,12506600,10761300
2010-05-03,286800,11190200,16689900,110817944,16977700,6884500,3372800,,5653700,5629700,7932600
2010-05-04,559000,26987000,30584400,195182313,24814700,14840300,12393300,,9340800,14483400,15789800
2010-05-05,585900,17603200,35206500,227201362,28450700,13465000,9048500,,9189500,9627700,26340900
2010-05-06,1018400,27430000,47200700,385070710,52085700,25522400,11302200,,18174300,21647700,30872900
2010-05-07,563800,27338400,49490900,434082852,48211400,25222100,10845600,,17669100,18182100,29681900
2010-05-10,1226300,18037400,29716900,220172844,28537400,23388200,8008800,,9506100,13168100,16425800
2010-05-11,389700,14382700,22836600,149938016,21220600,12865000,5904600,,7226100,8829300,12564300
2010-05-12,797800,12932300,18808100,108045855,23705400,11812100,6882700,,5226900,6115800,10334600
2010-05-13,606900,13342500,21117300,117497842,15827900,11439800,3342300,,7051300,6872600,10450300
2010-05-14,705700,20233500,28395700,185612150,24135200,16496600,7363700,,7542700,13544100,14208800
2010-05-17,458500,18782900,31939300,215164644,30408700,14987600,7124200,,8477300,11950000,13440900
2010-05-18,360200,23399000,30664900,245298293,33891300,22515200,8626600,,7786700,11648200,15773500
2010-05-19,468900,23750200,30105600,282446426,42144400,26722600,11727400,,8552400,12608800,15400900
2010-05-20,1349400,27629000,44883800,264759910,44338900,19818400,18459000,,11223900,15946600,18532500
2010-05-21,1382800,19505200,40156000,256736868,39374700,21022000,11228500,,9875400,16465100,19606400
2010-05-24,243400,13566800,27349200,132667948,24343600,12961700,6136100,,6804200,10310900,14054800
2010-05-25,1222600,18821600,43114000,202843441,30028300,18287900,15939800,,13531300,16411700,14186700
2010-05-26,738800,13437300,29847600,153920670,29128700,24322600,7444000,,7571300,12620400,13336400
2010-05-27,186000,14691400,30305200,150171413,21078000,19121700,12368000,,5422400,9438500,10730500
2010-05-28,378100,14740900,26328700,156946837,25026100,12116300,7409900,,7328400,13301500,11275600
2010-06-01,654500,15771100,36347600,102271849,27979600,13233500,10514700,,10813600,11633700,10932900
2010-06-02,985900,8751800,27648200,97060780,20844100,10380000,7420600,,6127000,10510200,7873900
2010-06-03,382000,12639700,33689900,126116689,21686700,12585000,5494200,,6986900,8442500,7889700
2010-06-04,350500,15356900,29859400,146914680,26172400,18494500,9125300,,8889600,11034700,15224900
2010-06-07,347500,12510500,24124800,128171597,30321200,10543200,9533900,,7605300,9478700,11929900
2010-06-08,564900,21835000,35094400,180966602,34376900,13325200,9553000,,11027000,10571000,13775900
2010-06-09,435700,13833000,30679900,153438734,30023200,13313500,8617100,,6174200,8428600,12343900
2010-06-10,400900,10798600,25993400,138725329,23492500,14212800,8597800,,6190800,6967900,10264900
2010-06-11,518600,7978400,15163100,66406172,14729700,10725300,6023400,,6026100,7042100,7716000
2010-06-14,421000,9101100,23814500,111620925,18225100,13023800,5604600,,5409000,6416400,6897300
2010-06-15,913400,7054800,17071200,124529437,17459700,11526800,5392500,,4782600,4921200,6946100
