Date,IYZ,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-11-01,1519100.0,57111800.0,78989900.0,690100939.0,63865100.0,53483400.0,35217800.0,,34300800.0,38658300.0,37972300.0
2010-11-08,1435100.0,55498500.0,85745800.0,593967472.0,57507300.0,46548000.0,38565200.0,,33116600.0,34353300.0,40140600.0
2010-11-15,1476300.0,66384700.0,78682200.0,524746987.0,88867300.0,53053000.0,28999100.0,,27063000.0,33057200.0,49387800.0
2010-11-22,1290200.0,37581400.0,69878500.0,335489969.0,40371900.0,30129800.0,17342200.0,,15872800.0,24890400.0,28976800.0
2010-11-29,2666100.0,57965200.0,81666300.0,549495381.0,62193400.0,47394100.0,34836100.0,,32915700.0,37514000.0,42120700.0
2010-12-06,1395400.0,44019800.0,67311300.0,481982170.0,73509200.0,37407600.0,25106700.0,,33528000.0,26652800.0,31879900.0
2010-12-13,1657700.0,36662900.0,57863300.0,433981418.0,47880100.0,29705300.0,30604800.0,,33840600.0,32050200.0,22195400.0
2010-12-17,,,,,,,,,,,
2010-12-20,712600.0,17179600.0,31317200.0,233264284.0,24381400.0,18962900.0,13668700.0,,14465700.0,11708200.0,14377300.0
2010-12-22,,,,,,,,,,,
2010-12-27,643500.0,14415200.0,25246200.0,175247869.0,18946100.0,21031900.0,13418200.0,,9822400.0,12264000.0,13457400.0
2011-01-03,3458100.0,42675700.0,58553500.0,600646631.0,48078900.0,48414700.0,25823900.0,,23912600.0,30167400.0,23175700.0
2011-01-10,1992100.0,39293800.0,58723400.0,457508660.0,43606500.0,53199000.0,21280200.0,,26032800.0,22045400.0,37936900.0
2011-01-17,3200600.0,57561000.0,65398700.0,428841009.0,53270000.0,46838900.0,28480200.0,,24630900.0,34988000.0,21315200.0
2011-01-24,2289200.0,60410800.0,91818000.0,435515490.0,65952400.0,63018900.0,45083700.0,,26899300.0,37353800.0,30878600.0
2011-01-31,974900.0,51122200.0,86909800.0,354126326.0,57126900.0,54138800.0,34609800.0,,24796800.0,37396900.0,24181000.0
2011-02-07,1436500.0,45644500.0,83759700.0,335043116.0,57355500.0,40761400.0,24023400.0,,25252300.0,27963900.0,25302700.0
2011-02-14,2525600.0,41153900.0,65766900.0,231184631.0,47070400.0,31753700.0,27411700.0,,23925000.0,32168700.0,18162100.0
2011-02-21,2338000.0,59930200.0,91174500.0,428273763.0,98189500.0,53737300.0,35692100.0,,22460500.0,37083000.0,30395400.0
2011-02-28,1480300.0,57526300.0,76567900.0,513814845.0,93579100.0,57172800.0,40172900.0,,43318400.0,57957700.0,38107200.0
2011-03-07,726600.0,92113500.0,104763500.0,492527531.0,107240800.0,63809200.0,50930700.0,,46477400.0,42861700.0,40906100.0
2011-03-14,1220200.0,101186800.0,114919000.0,754935739.0,135497100.0,75238800.0,46827500.0,,69599200.0,68287700.0,47666800.0
2011-03-18,,,,,,,,,,,
2011-03-21,1644600.0,51306100.0,64260700.0,364975866.0,68548000.0,40516200.0,26543800.0,,27565600.0,38420500.0,36109200.0
2011-03-25,,,,,,,,,,,
2011-03-28,1340700.0,56518200.0,81905500.0,303474984.0,66575400.0,36782600.0,29890100.0,,27284100.0,20369600.0,34492100.0
2011-04-04,808700.0,53198700.0,77190200.0,310332145.0,68550700.0,42247900.0,24934500.0,,23047600.0,26491100.0,32616800.0
2011-04-11,2115100.0,66939600.0,118391500.0,359712480.0,73879700.0,36751300.0,37316700.0,,36100500.0,37648900.0,32409400.0
2011-04-18,866100.0,48264500.0,70141600.0,307684635.0,61957700.0,38149900.0,29711300.0,,22710900.0,25005000.0,26381000.0
2011-04-25,1748000.0,55078400.0,59906800.0,252869558.0,73674900.0,37458400.0,42008400.0,,29398200.0,37788500.0,34128300.0
2011-05-02,1831000.0,91351000.0,155951600.0,454136089.0,121823300.0,49770700.0,56561800.0,,42050400.0,54677400.0,40698800.0
2011-05-09,2425900.0,81371800.0,158030200.0,375167071.0,85841500.0,50524300.0,36839200.0,,29354000.0,48244800.0,27119300.0
2011-05-16,2614500.0,90986200.0,130796900.0,402118953.0,108263200.0,105525500.0,58663400.0,,29776200.0,49375400.0,42210300.0
2011-05-23,1981800.0,66741200.0,105491100.0,405439575.0,99021700.0,57458900.0,50744400.0,,25004300.0,58946600.0,26812800.0
2011-05-30,4567600.0,70337900.0,93407900.0,514582990.0,110830700.0,48482300.0,42753600.0,,25839700.0,41858500.0,33793400.0
2011-06-06,2521300.0,76303800.0,105900500.0,600325094.0,112775800.0,43453300.0,44665800.0,,37464900.0,45430100.0,35512500.0
2011-06-13,2989800.0,101064900.0,138655900.0,677661561.0,125150700.0,66497600.0,68640100.0,,35844000.0,61344000.0,57601000.0
2011-06-17,,,,,,,,,,,
2011-06-20,3613500.0,74274400.0,121626000.0,486552381.0,85608100.0,58450000.0,57913800.0,,29170300.0,59210300.0,47845100.0
2011-06-24,,,,,,,,,,,
2011-06-27,2877900.0,60747700.0,91179200.0,401962863.0,86887200.0,48873000.0,52567800.0,,28867100.0,44320700.0,52044100.0
2011-07-04,1902600.0,48119600.0,61602800.0,299725480.0,91263700.0,39877800.0,29181300.0,,23758500.0,27451600.0,31451600.0
2011-07-11,3633300.0,54631300.0,109853200.0,576581935.0,104585600.0,51684800.0,37181700.0,,31448200.0,45141300.0,47300600.0
2011-07-18,4326100.0,49478700.0,79293600.0,639806341.0,80562900.0,44155000.0,33035600.0,,30163000.0,47572600.0,30537000.0
2011-07-25,2525400.0,52033800.0,93126200.0,521668132.0,140360200.0,49880000.0,38438000.0,,39366800.0,60574100.0,34359200.0
2011-08-01,6392900.0,126834200.0,205686500.0,833733896.0,246243500.0,121195400.0,80163900.0,,68898900.0,134806900.0,82197200.0
2011-08-08,4000700.0,144554700.0,224349100.0,1366236061.0,235533500.0,167566800.0,109593200.0,,86564400.0,138795500.0,104886100.0
2011-08-15,1672100.0,103967500.0,145486100.0,750429295.0,168146300.0,145470900.0,82055400.0,,90805200.0,84332400.0,72606900.0
2011-08-22,1579000.0,63473300.0,129875500.0,815730768.0,124575200.0,104986100.0,57406500.0,,76655000.0,64037900.0,53796800.0
2011-08-29,1537600.0,64157300.0,122011500.0,589012204.0,150926800.0,70317600.0,55419800.0,,51839100.0,54610600.0,54126100.0
2011-09-05,1331400.0,56881700.0,91409700.0,543175180.0,110477800.0,48152200.0,39198100.0,,40055000.0,80538200.0,35885500.0
2011-09-12,1596900.0,70669200.0,120044900.0,616966860.0,170702400.0,71986100.0,54260500.0,,35826500.0,62613600.0,46747900.0
2011-09-16,,,,,,,,,,,
2011-09-19,3863100.0,106889500.0,138638500.0,741657681.0,180310400.0,125909200.0,59057800.0,,78914900.0,81172000.0,79363900.0
2011-09-23,,,,,,,,,,,
2011-09-26,4064700.0,99813700.0,142571600.0,681541304.0,144964300.0,90959800.0,63210200.0,,55362100.0,65866900.0,63082600.0
2011-10-03,6335300.0,103996100.0,162202600.0,982944021.0,140514700.0,74195600.0,63013300.0,,73484900.0,106520600.0,74571400.0
2011-10-10,1370100.0,51936300.0,90742400.0,688786970.0,90373600.0,50072600.0,27168100.0,,42771300.0,32333000.0,39331000.0
2011-10-17,2704900.0,65977800.0,113338300.0,860617458.0,87242300.0,48585900.0,48157400.0,,37599700.0,36622100.0,44037300.0
2011-10-24,4075200.0,66608500.0,111766800.0,916464237.0,101207200.0,55129600.0,62111800.0,,51727100.0,79818500.0,62463600.0
2011-10-31,2573300.0,75269700.0,116271800.0,793414337.0,94560200.0,49362700.0,41905600.0,,43552100.0,45889500.0,34067900.0
2011-11-07,1283300.0,70837100.0,92648300.0,675190082.0,91309600.0,34681100.0,24581600.0,,30847200.0,36732100.0,33338900.0
2011-11-14,1561800.0,64623000.0,106485900.0,584130796.0,75392600.0,39540500.0,31283000.0,,28554200.0,36521300.0,23153300.0
2011-11-21,487100.0,49757400.0,67642000.0,342578068.0,63300400.0,36083500.0,35872000.0,,31761500.0,21567100.0,17442700.0
2011-11-28,867800.0,66762500.0,100598500.0,573496679.0,93992300.0,41813800.0,36033000.0,,34261500.0,46711800.0,29224400.0
2011-12-05,1813000.0,60908300.0,78528900.0,577681096.0,95724200.0,32872600.0,28223200.0,,36215600.0,68673600.0,28468500.0
2011-12-12,1264400.0,80830200.0,104357900.0,585704876.0,110895500.0,112971000.0,34615100.0,,40034100.0,27943700.0,50059600.0
2011-12-16,,,,,,,,,,,
